"Type","Status","Last Updated","Nationality","2017","2018","2019","2020","2021","2022","2023","2024"
"short term visa applications","Received","29/02/2024","Côte d'Ivoire","58","72","58","23","8","70","47","*"
"short term visa applications","Received","29/02/2024","Cuba","95","142","265","11","9","81","62","7"
"short term visa applications","Received","29/02/2024","Djibouti","15","8","9","*","*","8","7","0"
"short term visa applications","Received","29/02/2024","Dominican Republic (the)","94","132","119","23","16","105","196","16"
"short term visa applications","Received","29/02/2024","Ecuador","266","302","348","47","18","170","275","48"
"short term visa applications","Received","29/02/2024","Egypt","1688","1893","2066","392","250","1387","1838","231"
"short term visa applications","Received","29/02/2024","Equatorial Guinea","*","4","7","0","0","*","*","0"
"short term visa applications","Received","29/02/2024","Eritrea","30","43","49","10","8","60","53","6"
"short term visa applications","Received","29/02/2024","Ethiopia","298","377","320","34","55","269","369","34"
"short term visa applications","Received","29/02/2024","Faroe Islands (the)","0","0","0","0","*","0","0","0"
"short term visa applications","Received","29/02/2024","Gabon","12","19","24","5","0","7","6","*"
"short term visa applications","Received","29/02/2024","Gambia (the)","44","30","38","12","11","83","61","10"
"short term visa applications","Received","29/02/2024","Georgia","489","390","557","137","116","644","644","78"
"short term visa applications","Received","29/02/2024","Ghana","537","600","572","121","139","610","667","171"
"short term visa applications","Received","29/02/2024","Guinea","46","31","40","12","8","27","48","7"
"short term visa applications","Received","29/02/2024","Guinea-Bissau","6","6","*","4","0","4","7","0"
"short term visa applications","Received","29/02/2024","Haiti","42","74","21","7","*","8","25","0"
"short term visa applications","Received","29/02/2024","India","18570","21831","24305","5190","4173","24347","35066","6184"
"short term visa applications","Received","29/02/2024","Indonesia","2660","3175","3457","581","172","731","970","154"
"short term visa applications","Received","29/02/2024","Iran (Islamic Republic of)","923","945","765","160","155","700","923","136"
"short term visa applications","Received","29/02/2024","Iraq","294","257","274","38","50","494","458","109"
"short term visa applications","Received","29/02/2024","Jamaica","178","191","182","22","28","114","152","18"
"short term visa applications","Received","29/02/2024","Jordan","698","860","842","167","135","782","772","88"
"short term visa applications","Received","29/02/2024","Kazakhstan","449","501","414","93","57","250","368","43"
"short term visa applications","Received","29/02/2024","Kenya","682","816","678","132","121","748","905","130"
"short term visa applications","Received","29/02/2024","Korea (the Democratic People's Republic of) North Korea","*","*","0","0","0","0","0","0"
"short term visa applications","Received","29/02/2024","Kosovo","257","207","197","41","42","197","177","43"
"short term visa applications","Received","29/02/2024","Kuwait","1053","1184","1225","180","568","1032","983","112"
"short term visa applications","Received","29/02/2024","Kyrgyzstan","98","61","63","22","10","51","49","8"
"short term visa applications","Received","29/02/2024","Lao People's Democratic Republic (the)","16","18","9","10","0","15","20","*"
"short term visa applications","Received","29/02/2024","Lebanon","999","1038","1067","187","132","664","806","106"
"short term visa applications","Received","29/02/2024","Liberia","32","32","27","7","0","47","43","4"
"short term visa applications","Received","29/02/2024","Libya","86","101","135","29","19","67","67","16"
"short term visa applications","Received","29/02/2024","Madagascar","39","29","29","17","*","29","32","5"
"short term visa applications","Received","29/02/2024","Malawi","245","265","276","41","45","394","426","75"
"short term visa applications","Received","29/02/2024","Mali","34","15","27","*","0","18","33","*"
"short term visa applications","Received","29/02/2024","Marshall Islands (the)","0","0","*","0","0","*","0","0"
"short term visa applications","Received","29/02/2024","Mauritania","5","6","7","0","*","7","8","0"
"short term visa applications","Received","29/02/2024","Mauritius","333","275","377","61","41","281","324","52"
"short term visa applications","Received","29/02/2024","Micronesia (Federated States of)","*","*","*","0","0","*","*","0"
"short term visa applications","Received","29/02/2024","Moldova (the Republic of)","499","628","720","228","181","569","830","107"
"short term visa applications","Received","29/02/2024","Mongolia","257","359","348","35","46","260","345","49"
"short term visa applications","Received","29/02/2024","Montenegro","93","97","171","20","8","102","84","17"
"short term visa applications","Received","29/02/2024","Morocco","810","998","1138","196","139","668","762","136"
"short term visa applications","Received","29/02/2024","Mozambique","59","39","42","6","5","52","55","10"
"short term visa applications","Received","29/02/2024","Myanmar","75","106","108","11","7","70","74","18"
"short term visa applications","Received","29/02/2024","Namibia","67","99","90","17","7","69","85","27"
"short term visa applications","Received","29/02/2024","Nepal","313","289","331","62","63","338","420","70"
"short term visa applications","Received","29/02/2024","Niger (the)","8","8","7","4","0","*","6","*"
"short term visa applications","Received","29/02/2024","Nigeria","5128","5683","6527","1234","1250","6186","5947","1009"
"short term visa applications","Received","29/02/2024","North Macedonia","368","441","420","98","70","283","272","50"
"short term visa applications","Received","29/02/2024","Oman","579","652","477","41","121","339","336","19"
"short term visa applications","Received","29/02/2024","Pakistan","3578","5251","3333","760","709","4258","6346","1310"
"short term visa applications","Received","29/02/2024","Palau","*","0","13","*","0","*","*","0"
"short term visa applications","Received","29/02/2024","Palestine, State of","333","376","400","58","52","296","314","45"
"short term visa applications","Received","29/02/2024","Papua New Guinea","7","9","12","*","0","10","7","*"
"short term visa applications","Received","29/02/2024","Peru","534","524","605","108","40","321","450","73"
"short term visa applications","Received","29/02/2024","Philippines (the)","3621","3886","4201","852","477","2740","3413","500"
"short term visa applications","Received","29/02/2024","Qatar","48","67","78","11","80","71","67","7"
"short term visa applications","Received","29/02/2024","Russian Federation (the)","13414","13989","17707","3046","1152","3164","3278","473"
"short term visa applications","Received","29/02/2024","Rwanda","66","72","49","10","8","60","69","11"
"short term visa applications","Received","29/02/2024","Sao Tome and Principe","0","7","0","0","*","*","*","0"
