"Type","Status","Last Updated","Nationality","2017","2018","2019","2020","2021","2022","2023","2024"
"short term visa applications","Refused","29/02/2024","Sudan (the)","491","656","856","134","75","610","536","35"
"short term visa applications","Refused","29/02/2024","Suriname","0","*","0","0","0","0","0","0"
"short term visa applications","Refused","29/02/2024","Syrian Arab Republic (the)","123","143","319","32","41","152","107","14"
"short term visa applications","Refused","29/02/2024","Tajikistan","*","*","12","0","*","*","*","*"
"short term visa applications","Refused","29/02/2024","Tanzania, the United Republic of","23","49","40","5","11","33","107","29"
"short term visa applications","Refused","29/02/2024","Thailand","92","97","77","16","10","35","62","7"
"short term visa applications","Refused","29/02/2024","Timor-Leste","0","0","0","0","0","*","5","0"
"short term visa applications","Refused","29/02/2024","Togo","25","6","11","*","0","7","6","8"
"short term visa applications","Refused","29/02/2024","Tunisia","43","58","55","20","11","70","87","5"
"short term visa applications","Refused","29/02/2024","Turkiye","170","185","225","52","11","278","764","75"
"short term visa applications","Refused","29/02/2024","Turkmenistan","4","*","*","0","0","0","*","0"
"short term visa applications","Refused","29/02/2024","Uganda","69","94","134","41","4","174","239","*"
"short term visa applications","Refused","29/02/2024","Uzbekistan","48","9","9","5","*","5","6","0"
"short term visa applications","Refused","29/02/2024","Venezuela (Bolivarian Republic of)","11","22","31","12","*","12","16","*"
"short term visa applications","Refused","29/02/2024","Viet Nam","50","85","70","12","8","47","91","8"
"short term visa applications","Refused","29/02/2024","Yemen","86","91","57","9","13","60","33","*"
"short term visa applications","Refused","29/02/2024","Zambia","18","36","38","5","4","44","58","9"
"short term visa applications","Refused","29/02/2024","Zimbabwe","116","173","185","34","20","108","253","34"
"short term visa applications","Refused","29/02/2024","*Other","407","420","767","148","26","35","43","6"
"long term visa applications","Received","29/02/2024","Afghanistan","182","152","184","148","655","391","811","159"
"long term visa applications","Received","29/02/2024","Albania","35","41","56","44","72","86","65","7"
"long term visa applications","Received","29/02/2024","Algeria","66","78","58","188","81","148","183","40"
"long term visa applications","Received","29/02/2024","Angola","4","5","8","7","6","21","19","*"
"long term visa applications","Received","29/02/2024","Armenia","14","32","10","12","18","39","18","*"
"long term visa applications","Received","29/02/2024","Azerbaijan","17","18","26","12","31","64","29","*"
"long term visa applications","Received","29/02/2024","Bahrain","25","22","25","11","40","28","23","0"
"long term visa applications","Received","29/02/2024","Bangladesh","193","205","198","153","187","477","567","68"
"long term visa applications","Received","29/02/2024","Belarus","51","52","57","51","71","166","85","8"
"long term visa applications","Received","29/02/2024","Benin","*","7","5","*","4","8","6","0"
"long term visa applications","Received","29/02/2024","Bhutan","*","0","0","0","*","0","*","0"
"long term visa applications","Received","29/02/2024","Bosnia and Herzegovina","37","37","36","29","36","62","9","*"
"long term visa applications","Received","29/02/2024","Burkina Faso","*","*","*","*","7","*","4","0"
"long term visa applications","Received","29/02/2024","Burundi","11","5","4","*","6","*","19","*"
"long term visa applications","Received","29/02/2024","Cabo Verde","*","*","0","*","0","*","4","0"
"long term visa applications","Received","29/02/2024","Cambodia","4","*","6","6","8","75","19","*"
"long term visa applications","Received","29/02/2024","Cameroon","55","50","65","29","53","98","127","7"
"long term visa applications","Received","29/02/2024","Central African Republic (the)","4","0","0","0","*","*","0","0"
"long term visa applications","Received","29/02/2024","Chad","*","*","0","0","*","*","0","0"
"long term visa applications","Received","29/02/2024","China","3294","3673","4198","2561","3190","4347","6834","471"
"long term visa applications","Received","29/02/2024","Colombia","123","160","152","67","136","451","316","35"
"long term visa applications","Received","29/02/2024","Comoros (the)","0","0","*","0","0","0","*","0"
"long term visa applications","Received","29/02/2024","Congo (the Democratic Republic of the)","69","49","155","114","70","90","94","27"
"long term visa applications","Received","29/02/2024","Congo (the)","*","10","16","*","*","8","11","*"
"long term visa applications","Received","29/02/2024","Côte d'Ivoire","14","12","7","9","15","20","22","7"
"long term visa applications","Received","29/02/2024","Cuba","11","10","20","10","4","25","23","*"
"long term visa applications","Received","29/02/2024","Djibouti","*","*","0","0","0","*","0","0"
"long term visa applications","Received","29/02/2024","Dominican Republic (the)","6","12","16","4","10","16","18","0"
"long term visa applications","Received","29/02/2024","Ecuador","33","25","28","12","21","76","54","12"
"long term visa applications","Received","29/02/2024","Egypt","586","559","500","389","387","740","479","72"
"long term visa applications","Received","29/02/2024","Equatorial Guinea","4","0","0","0","0","*","0","0"
"long term visa applications","Received","29/02/2024","Eritrea","6","6","24","12","20","6","15","0"
"long term visa applications","Received","29/02/2024","Ethiopia","68","57","85","31","105","60","73","5"
"long term visa applications","Received","29/02/2024","Faroe Islands (the)","0","0","0","0","0","0","0","0"
"long term visa applications","Received","29/02/2024","Gabon","*","*","0","*","5","7","*","*"
"long term visa applications","Received","29/02/2024","Gambia (the)","*","10","*","*","*","7","21","*"
"long term visa applications","Received","29/02/2024","Georgia","39","43","54","25","54","144","90","4"
"long term visa applications","Received","29/02/2024","Ghana","111","123","151","130","188","288","613","115"
"long term visa applications","Received","29/02/2024","Guinea","10","17","7","5","13","39","19","*"
"long term visa applications","Received","29/02/2024","Guinea-Bissau","*","0","*","*","*","*","0","0"
"long term visa applications","Received","29/02/2024","Haiti","4","*","5","4","0","7","*","0"
"long term visa applications","Received","29/02/2024","India","8136","9545","11970","9085","15607","26291","28359","3581"
"long term visa applications","Received","29/02/2024","Indonesia","83","91","107","88","169","238","214","15"
"long term visa applications","Received","29/02/2024","Iran (Islamic Republic of)","167","206","257","182","257","492","348","45"
"long term visa applications","Received","29/02/2024","Iraq","174","132","109","59","82","112","94","6"
"long term visa applications","Received","29/02/2024","Jamaica","12","8","7","9","13","14","8","0"
"long term visa applications","Received","29/02/2024","Jordan","64","84","121","93","133","159","130","11"
"long term visa applications","Received","29/02/2024","Kazakhstan","52","59","99","60","65","143","134","22"
"long term visa applications","Received","29/02/2024","Kenya","77","82","103","105","162","377","464","62"
"long term visa applications","Received","29/02/2024","Korea (the Democratic People's Republic of) North Korea","0","0","0","0","0","0","0","0"
"long term visa applications","Received","29/02/2024","Kosovo","16","11","77","147","48","35","41","7"
"long term visa applications","Received","29/02/2024","Kuwait","438","449","337","191","437","387","346","29"
"long term visa applications","Received","29/02/2024","Kyrgyzstan","12","17","14","8","14","101","48","11"
"long term visa applications","Received","29/02/2024","Lao People's Democratic Republic (the)","*","*","*","*","5","6","*","0"
"long term visa applications","Received","29/02/2024","Lebanon","61","63","61","71","111","171","68","5"
"long term visa applications","Received","29/02/2024","Liberia","4","*","0","*","4","11","16","*"
"long term visa applications","Received","29/02/2024","Libya","65","60","71","43","50","66","43","6"
"long term visa applications","Received","29/02/2024","Madagascar","6","4","4","*","*","*","*","*"
"long term visa applications","Received","29/02/2024","Malawi","30","41","37","26","42","92","73","5"
"long term visa applications","Received","29/02/2024","Mali","*","*","*","0","*","*","0","*"
"long term visa applications","Received","29/02/2024","Marshall Islands (the)","0","0","0","0","0","0","0","0"
"long term visa applications","Received","29/02/2024","Mauritania","0","4","0","0","0","*","*","*"
"long term visa applications","Received","29/02/2024","Mauritius","52","46","39","29","53","87","91","*"
"long term visa applications","Received","29/02/2024","Micronesia (Federated States of)","0","0","0","0","0","0","0","0"
"long term visa applications","Received","29/02/2024","Moldova (the Republic of)","10","29","59","72","76","106","50","*"
"long term visa applications","Received","29/02/2024","Mongolia","129","322","489","128","471","1692","1177","193"
"long term visa applications","Received","29/02/2024","Montenegro","*","4","6","0","*","4","8","0"
"long term visa applications","Received","29/02/2024","Morocco","112","119","151","80","124","206","310","81"
"long term visa applications","Received","29/02/2024","Mozambique","*","*","10","6","10","17","19","5"
"long term visa applications","Received","29/02/2024","Myanmar","13","10","23","7","15","39","35","*"
"long term visa applications","Received","29/02/2024","Namibia","5","*","11","11","17","17","6","*"
"long term visa applications","Received","29/02/2024","Nepal","93","72","152","50","143","370","415","58"
"long term visa applications","Received","29/02/2024","Niger (the)","*","*","0","*","0","0","0","0"
"long term visa applications","Received","29/02/2024","Nigeria","875","1302","1846","1100","1567","2137","2507","230"
"long term visa applications","Received","29/02/2024","North Macedonia","9","6","13","15","12","31","14","*"
"long term visa applications","Received","29/02/2024","Oman","211","232","194","174","167","124","101","7"
"long term visa applications","Received","29/02/2024","Pakistan","1592","1399","1437","1168","1544","3492","4740","916"
"long term visa applications","Received","29/02/2024","Palau","0","0","0","0","*","0","*","0"
"long term visa applications","Received","29/02/2024","Palestine, State of","37","54","58","50","93","92","115","66"
"long term visa applications","Received","29/02/2024","Papua New Guinea","0","0","0","0","*","0","7","0"
"long term visa applications","Received","29/02/2024","Peru","53","42","50","16","53","135","72","14"
"long term visa applications","Received","29/02/2024","Philippines (the)","1188","1069","1434","893","1136","2968","3693","619"
"long term visa applications","Received","29/02/2024","Qatar","*","4","5","9","23","11","24","0"
"long term visa applications","Received","29/02/2024","Russian Federation (the)","560","678","800","516","607","1710","671","36"
"long term visa applications","Received","29/02/2024","Rwanda","5","*","11","4","15","20","23","5"
"long term visa applications","Received","29/02/2024","Sao Tome and Principe","0","0","0","0","*","0","0","0"
"long term visa applications","Received","29/02/2024","Saudi Arabia","999","1007","691","526","597","467","403","20"
"long term visa applications","Received","29/02/2024","Senegal","4","9","9","6","9","24","11","*"
"long term visa applications","Received","29/02/2024","Serbia","53","57","49","54","45","70","45","9"
"long term visa applications","Received","29/02/2024","Sierra Leone","12","7","4","11","30","22","33","*"
"long term visa applications","Received","29/02/2024","Somalia","138","78","98","55","138","201","273","26"
"long term visa applications","Received","29/02/2024","South Sudan","*","*","*","8","5","5","4","0"
"long term visa applications","Received","29/02/2024","Sri Lanka","71","92","160","112","182","624","729","83"
"long term visa applications","Received","29/02/2024","Sudan (the)","334","286","429","436","485","644","686","102"
"long term visa applications","Received","29/02/2024","Suriname","*","0","0","*","0","0","*","0"
"long term visa applications","Received","29/02/2024","Syrian Arab Republic (the)","231","185","320","161","104","156","88","17"
"long term visa applications","Received","29/02/2024","Tajikistan","*","0","*","*","*","29","8","*"
"long term visa applications","Received","29/02/2024","Tanzania, the United Republic of","22","24","31","29","29","63","78","23"
"long term visa applications","Received","29/02/2024","Thailand","171","227","376","94","107","475","361","38"
"long term visa applications","Received","29/02/2024","Timor-Leste","0","0","*","*","*","*","*","0"
"long term visa applications","Received","29/02/2024","Togo","11","13","15","4","15","32","11","4"
"long term visa applications","Received","29/02/2024","Tunisia","55","45","47","50","61","143","86","20"
"long term visa applications","Received","29/02/2024","Turkiye","858","1117","1846","1140","3173","4348","2672","281"
"long term visa applications","Received","29/02/2024","Turkmenistan","0","0","4","*","*","9","8","*"
"long term visa applications","Received","29/02/2024","Uganda","53","57","66","61","82","166","188","11"
"long term visa applications","Received","29/02/2024","Uzbekistan","15","16","24","24","13","71","46","5"
"long term visa applications","Received","29/02/2024","Venezuela (Bolivarian Republic of)","84","72","55","26","30","56","54","4"
"long term visa applications","Received","29/02/2024","Viet Nam","264","221","284","280","243","734","296","24"
"long term visa applications","Received","29/02/2024","Yemen","27","23","24","11","26","42","21","0"
"long term visa applications","Received","29/02/2024","Zambia","29","34","29","30","37","76","64","6"
"long term visa applications","Received","29/02/2024","Zimbabwe","169","257","282","340","657","1211","1411","289"
"long term visa applications","Received","29/02/2024","*Other","418","394","710","463","956","69","46","70"
"long term visa applications","Granted","29/02/2024","Afghanistan","153","108","149","114","284","194","656","116"
"long term visa applications","Granted","29/02/2024","Albania","28","31","36","14","50","57","37","*"
"long term visa applications","Granted","29/02/2024","Algeria","38","51","45","176","62","77","87","33"
"long term visa applications","Granted","29/02/2024","Angola","0","6","4","*","8","7","11","*"
"long term visa applications","Granted","29/02/2024","Armenia","15","23","12","13","17","30","22","*"
"long term visa applications","Granted","29/02/2024","Azerbaijan","12","18","15","12","26","34","24","0"
"long term visa applications","Granted","29/02/2024","Bahrain","24","20","24","8","34","29","22","0"
"long term visa applications","Granted","29/02/2024","Bangladesh","138","129","155","137","161","356","356","100"
"long term visa applications","Granted","29/02/2024","Belarus","40","49","51","41","65","138","88","4"
"long term visa applications","Granted","29/02/2024","Benin","*","4","*","*","*","10","*","0"
"long term visa applications","Granted","29/02/2024","Bhutan","*","0","0","0","*","0","*","0"
"long term visa applications","Granted","29/02/2024","Bosnia and Herzegovina","31","28","30","27","27","52","12","*"
"long term visa applications","Granted","29/02/2024","Burkina Faso","*","*","*","*","*","*","*","0"
"long term visa applications","Granted","29/02/2024","Burundi","9","6","4","0","6","*","16","*"
"long term visa applications","Granted","29/02/2024","Cabo Verde","*","*","0","*","0","*","*","0"
"long term visa applications","Granted","29/02/2024","Cambodia","6","*","6","5","5","43","10","0"
"long term visa applications","Granted","29/02/2024","Cameroon","30","22","39","19","39","50","42","8"
"long term visa applications","Granted","29/02/2024","Central African Republic (the)","4","0","0","0","0","*","0","0"
"long term visa applications","Granted","29/02/2024","Chad","0","*","0","0","0","*","0","0"
"long term visa applications","Granted","29/02/2024","China","3198","3418","3797","2436","3062","4063","6212","735"
"long term visa applications","Granted","29/02/2024","Colombia","68","84","83","56","76","270","287","32"
"long term visa applications","Granted","29/02/2024","Comoros (the)","0","0","0","*","0","0","0","0"
"long term visa applications","Granted","29/02/2024","Congo (the Democratic Republic of the)","59","42","134","107","53","66","60","16"
"long term visa applications","Granted","29/02/2024","Congo (the)","*","8","7","4","*","7","6","*"
"long term visa applications","Granted","29/02/2024","Côte d'Ivoire","6","*","4","5","11","16","14","*"
"long term visa applications","Granted","29/02/2024","Cuba","5","9","15","6","8","18","14","*"
"long term visa applications","Granted","29/02/2024","Djibouti","0","0","0","0","0","*","0","0"
"long term visa applications","Granted","29/02/2024","Dominican Republic (the)","4","7","12","5","9","11","9","*"
"long term visa applications","Granted","29/02/2024","Ecuador","24","15","19","12","15","31","40","5"
"long term visa applications","Granted","29/02/2024","Egypt","563","502","449","342","340","636","435","72"
"long term visa applications","Granted","29/02/2024","Equatorial Guinea","*","0","0","0","0","0","0","0"
"long term visa applications","Granted","29/02/2024","Eritrea","5","5","22","11","12","4","8","0"
"long term visa applications","Granted","29/02/2024","Ethiopia","60","49","65","27","79","58","44","5"
"long term visa applications","Granted","29/02/2024","Faroe Islands (the)","0","0","0","0","0","0","0","0"
"long term visa applications","Granted","29/02/2024","Gabon","*","0","0","*","*","*","*","*"
"long term visa applications","Granted","29/02/2024","Gambia (the)","*","5","*","*","*","4","10","*"
"long term visa applications","Granted","29/02/2024","Georgia","30","35","45","14","48","98","64","6"
"long term visa applications","Granted","29/02/2024","Ghana","77","67","104","86","87","245","479","79"
"long term visa applications","Granted","29/02/2024","Guinea","5","13","*","*","10","25","6","0"
"long term visa applications","Granted","29/02/2024","Guinea-Bissau","0","0","0","0","*","0","0","0"
"long term visa applications","Granted","29/02/2024","Haiti","4","*","*","4","0","5","*","0"
"long term visa applications","Granted","29/02/2024","India","6906","8575","12371","8963","14600","25385","24181","4828"
"long term visa applications","Granted","29/02/2024","Indonesia","73","86","91","78","157","231","200","14"
"long term visa applications","Granted","29/02/2024","Iran (Islamic Republic of)","108","122","229","157","197","355","279","55"
"long term visa applications","Granted","29/02/2024","Iraq","148","86","104","39","52","81","62","11"
"long term visa applications","Granted","29/02/2024","Jamaica","9","7","4","9","7","14","*","*"
"long term visa applications","Granted","29/02/2024","Jordan","56","78","90","75","94","137","125","12"
"long term visa applications","Granted","29/02/2024","Kazakhstan","49","54","73","53","62","103","86","15"
"long term visa applications","Granted","29/02/2024","Kenya","49","71","88","86","143","319","332","89"
"long term visa applications","Granted","29/02/2024","Korea (the Democratic People's Republic of) North Korea","0","0","0","0","0","0","0","0"
"long term visa applications","Granted","29/02/2024","Kosovo","8","14","43","79","13","31","35","7"
"long term visa applications","Granted","29/02/2024","Kuwait","436","454","306","159","417","372","331","56"
"long term visa applications","Granted","29/02/2024","Kyrgyzstan","7","11","6","8","13","48","19","8"
"long term visa applications","Granted","29/02/2024","Lao People's Democratic Republic (the)","*","0","*","*","5","4","*","0"
"long term visa applications","Granted","29/02/2024","Lebanon","58","58","55","65","94","173","58","9"
"long term visa applications","Granted","29/02/2024","Liberia","4","*","0","*","*","11","11","0"
"long term visa applications","Granted","29/02/2024","Libya","24","48","45","42","35","52","39","*"
"long term visa applications","Granted","29/02/2024","Madagascar","*","5","4","*","*","*","4","*"
"long term visa applications","Granted","29/02/2024","Malawi","18","20","19","14","36","64","43","0"
"long term visa applications","Granted","29/02/2024","Mali","*","*","*","0","*","*","*","0"
"long term visa applications","Granted","29/02/2024","Marshall Islands (the)","0","0","0","0","0","0","0","0"
"long term visa applications","Granted","29/02/2024","Mauritania","0","*","0","0","0","0","0","0"
"long term visa applications","Granted","29/02/2024","Mauritius","29","37","24","29","36","65","38","6"
"long term visa applications","Granted","29/02/2024","Micronesia (Federated States of)","0","0","0","0","0","0","0","0"
"long term visa applications","Granted","29/02/2024","Moldova (the Republic of)","7","21","39","50","47","107","36","5"
"long term visa applications","Granted","29/02/2024","Mongolia","70","202","270","38","269","1328","976","309"
"long term visa applications","Granted","29/02/2024","Montenegro","*","*","4","0","*","5","6","*"
"long term visa applications","Granted","29/02/2024","Morocco","71","88","93","72","78","141","191","94"
"long term visa applications","Granted","29/02/2024","Mozambique","0","*","9","7","7","16","17","0"
"long term visa applications","Granted","29/02/2024","Myanmar","12","11","14","5","18","18","31","*"
"long term visa applications","Granted","29/02/2024","Namibia","*","*","11","7","16","17","*","*"
"long term visa applications","Granted","29/02/2024","Nepal","54","53","87","52","94","223","263","56"
"long term visa applications","Granted","29/02/2024","Niger (the)","0","0","*","*","0","0","0","0"
"long term visa applications","Granted","29/02/2024","Nigeria","589","836","1194","838","959","1630","1743","149"
"long term visa applications","Granted","29/02/2024","North Macedonia","13","6","10","9","9","23","17","*"
"long term visa applications","Granted","29/02/2024","Oman","211","223","193","165","167","123","91","8"
"long term visa applications","Granted","29/02/2024","Pakistan","1212","1020","932","862","1332","2468","3094","563"
"long term visa applications","Granted","29/02/2024","Palau","0","0","0","0","*","0","0","0"
"long term visa applications","Granted","29/02/2024","Palestine, State of","37","38","50","48","85","79","76","55"
"long term visa applications","Granted","29/02/2024","Papua New Guinea","0","0","0","0","*","0","4","0"
"long term visa applications","Granted","29/02/2024","Peru","37","25","33","16","22","96","52","7"
"long term visa applications","Granted","29/02/2024","Philippines (the)","1087","1068","1315","757","1109","2416","3411","408"
"long term visa applications","Granted","29/02/2024","Qatar","*","4","5","9","22","10","23","*"
"long term visa applications","Granted","29/02/2024","Russian Federation (the)","497","599","736","434","561","1490","684","40"
"long term visa applications","Granted","29/02/2024","Rwanda","*","0","9","*","11","13","12","7"
"long term visa applications","Granted","29/02/2024","Sao Tome and Principe","0","0","0","0","*","0","0","0"
"long term visa applications","Granted","29/02/2024","Saudi Arabia","945","966","705","495","585","469","382","28"
"long term visa applications","Granted","29/02/2024","Senegal","*","*","5","*","9","19","8","0"
"long term visa applications","Granted","29/02/2024","Serbia","53","54","50","48","41","63","40","*"
"long term visa applications","Granted","29/02/2024","Sierra Leone","6","5","*","8","23","19","23","*"
"long term visa applications","Granted","29/02/2024","Somalia","131","64","82","34","96","156","219","12"
"long term visa applications","Granted","29/02/2024","South Sudan","*","*","0","6","5","5","*","0"
"long term visa applications","Granted","29/02/2024","Sri Lanka","53","76","129","102","152","537","610","144"
"long term visa applications","Granted","29/02/2024","Sudan (the)","312","276","388","407","448","554","601","110"
"long term visa applications","Granted","29/02/2024","Suriname","*","0","0","*","0","0","0","0"
"long term visa applications","Granted","29/02/2024","Syrian Arab Republic (the)","188","184","293","154","86","107","64","20"
"long term visa applications","Granted","29/02/2024","Tajikistan","*","0","0","*","0","26","7","0"
"long term visa applications","Granted","29/02/2024","Tanzania, the United Republic of","16","16","19","22","23","59","65","15"
"long term visa applications","Granted","29/02/2024","Thailand","140","158","308","118","93","421","342","30"
"long term visa applications","Granted","29/02/2024","Timor-Leste","0","0","*","*","*","*","*","0"
"long term visa applications","Granted","29/02/2024","Togo","*","16","5","*","7","21","7","*"
"long term visa applications","Granted","29/02/2024","Tunisia","39","32","32","38","49","113","69","17"
"long term visa applications","Granted","29/02/2024","Turkiye","792","965","1526","825","1633","2940","1588","191"
"long term visa applications","Granted","29/02/2024","Turkmenistan","0","0","*","0","*","5","6","*"
"long term visa applications","Granted","29/02/2024","Uganda","44","53","49","52","62","144","136","21"
"long term visa applications","Granted","29/02/2024","Uzbekistan","11","14","12","15","19","36","33","*"
"long term visa applications","Granted","29/02/2024","Venezuela (Bolivarian Republic of)","49","37","26","21","21","39","33","5"
"long term visa applications","Granted","29/02/2024","Viet Nam","183","188","209","239","193","428","191","26"
"long term visa applications","Granted","29/02/2024","Yemen","19","22","10","8","23","36","18","*"
"long term visa applications","Granted","29/02/2024","Zambia","20","21","21","22","33","66","53","*"
"long term visa applications","Granted","29/02/2024","Zimbabwe","133","245","234","280","624","1140","1154","179"
"long term visa applications","Granted","29/02/2024","*Other","365","331","661","404","766","68","12","9"
"long term visa applications","Refused","29/02/2024","Afghanistan","42","44","35","23","118","306","223","23"
"long term visa applications","Refused","29/02/2024","Albania","13","17","24","22","26","21","17","5"
"long term visa applications","Refused","29/02/2024","Algeria","32","13","23","15","15","60","83","25"
"long term visa applications","Refused","29/02/2024","Angola","5","*","*","5","*","8","4","6"
"long term visa applications","Refused","29/02/2024","Armenia","*","4","*","0","0","*","*","0"
"long term visa applications","Refused","29/02/2024","Azerbaijan","5","*","8","*","*","0","14","*"
"long term visa applications","Refused","29/02/2024","Bahrain","*","*","*","*","*","*","*","0"
"long term visa applications","Refused","29/02/2024","Bangladesh","63","112","88","51","61","120","131","33"
"long term visa applications","Refused","29/02/2024","Belarus","*","7","9","6","*","8","9","0"
"long term visa applications","Refused","29/02/2024","Benin","0","*","*","0","*","*","*","0"
"long term visa applications","Refused","29/02/2024","Bhutan","0","0","0","0","*","0","0","0"
"long term visa applications","Refused","29/02/2024","Bosnia and Herzegovina","10","6","8","4","7","7","*","*"
"long term visa applications","Refused","29/02/2024","Burkina Faso","0","*","*","0","6","0","*","*"
"long term visa applications","Refused","29/02/2024","Burundi","*","0","0","0","*","0","*","0"
"long term visa applications","Refused","29/02/2024","Cabo Verde","0","*","0","0","0","0","0","0"
"long term visa applications","Refused","29/02/2024","Cambodia","0","*","0","0","*","24","20","0"
"long term visa applications","Refused","29/02/2024","Cameroon","16","35","28","16","26","27","87","4"
"long term visa applications","Refused","29/02/2024","Central African Republic (the)","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","29/02/2024","Chad","0","*","0","0","0","0","0","0"
"long term visa applications","Refused","29/02/2024","China","112","273","251","259","138","145","339","68"
"long term visa applications","Refused","29/02/2024","Colombia","54","82","78","21","27","183","90","7"
"long term visa applications","Refused","29/02/2024","Comoros (the)","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","29/02/2024","Congo (the Democratic Republic of the)","16","13","18","6","22","12","29","*"
"long term visa applications","Refused","29/02/2024","Congo (the)","*","*","6","*","*","0","*","*"
"long term visa applications","Refused","29/02/2024","Côte d'Ivoire","7","10","4","4","5","6","9","*"
"long term visa applications","Refused","29/02/2024","Cuba","*","7","6","*","0","7","*","*"
"long term visa applications","Refused","29/02/2024","Djibouti","*","0","*","0","0","0","0","0"
"long term visa applications","Refused","29/02/2024","Dominican Republic (the)","*","5","*","*","*","0","4","*"
"long term visa applications","Refused","29/02/2024","Ecuador","5","8","16","*","4","40","18","0"
"long term visa applications","Refused","29/02/2024","Egypt","39","32","37","44","36","65","84","15"
"long term visa applications","Refused","29/02/2024","Equatorial Guinea","0","*","0","0","0","0","*","0"
"long term visa applications","Refused","29/02/2024","Eritrea","0","*","0","*","*","6","*","0"
"long term visa applications","Refused","29/02/2024","Ethiopia","11","11","14","7","13","18","9","4"
"long term visa applications","Refused","29/02/2024","Faroe Islands (the)","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","29/02/2024","Gabon","0","*","0","0","*","*","*","0"
"long term visa applications","Refused","29/02/2024","Gambia (the)","0","*","4","*","*","*","6","*"
"long term visa applications","Refused","29/02/2024","Georgia","20","12","12","8","6","26","24","*"
"long term visa applications","Refused","29/02/2024","Ghana","37","47","53","56","97","53","110","10"
"long term visa applications","Refused","29/02/2024","Guinea","6","5","5","*","4","7","9","*"
"long term visa applications","Refused","29/02/2024","Guinea-Bissau","0","*","*","0","*","*","0","0"
"long term visa applications","Refused","29/02/2024","Haiti","0","0","*","*","0","*","0","0"
"long term visa applications","Refused","29/02/2024","India","856","646","479","247","408","1072","1970","558"
"long term visa applications","Refused","29/02/2024","Indonesia","8","19","4","*","9","4","11","4"
"long term visa applications","Refused","29/02/2024","Iran (Islamic Republic of)","23","89","32","17","37","73","77","6"
"long term visa applications","Refused","29/02/2024","Iraq","83","43","22","17","16","28","18","*"
"long term visa applications","Refused","29/02/2024","Jamaica","*","4","*","0","*","*","*","*"
"long term visa applications","Refused","29/02/2024","Jordan","8","5","27","14","31","28","18","*"
"long term visa applications","Refused","29/02/2024","Kazakhstan","8","5","27","8","0","18","35","*"
"long term visa applications","Refused","29/02/2024","Kenya","18","25","9","5","30","45","52","28"
"long term visa applications","Refused","29/02/2024","Korea (the Democratic People's Republic of) North Korea","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","29/02/2024","Kosovo","*","8","11","53","56","5","10","0"
"long term visa applications","Refused","29/02/2024","Kuwait","7","5","25","26","7","6","10","*"
"long term visa applications","Refused","29/02/2024","Kyrgyzstan","6","6","8","*","0","37","31","*"
"long term visa applications","Refused","29/02/2024","Lao People's Democratic Republic (the)","0","*","0","0","0","*","0","0"
"long term visa applications","Refused","29/02/2024","Lebanon","8","5","4","*","7","4","10","0"
"long term visa applications","Refused","29/02/2024","Liberia","*","0","*","0","0","0","0","0"
"long term visa applications","Refused","29/02/2024","Libya","23","17","27","7","12","13","19","*"
"long term visa applications","Refused","29/02/2024","Madagascar","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","29/02/2024","Malawi","14","18","16","14","10","12","32","7"
"long term visa applications","Refused","29/02/2024","Mali","0","0","0","0","0","0","0","*"
"long term visa applications","Refused","29/02/2024","Marshall Islands (the)","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","29/02/2024","Mauritania","0","*","0","0","0","*","*","*"
"long term visa applications","Refused","29/02/2024","Mauritius","15","19","14","5","11","22","31","12"
"long term visa applications","Refused","29/02/2024","Micronesia (Federated States of)","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","29/02/2024","Moldova (the Republic of)","10","7","17","*","15","32","8","0"
"long term visa applications","Refused","29/02/2024","Mongolia","57","124","216","104","131","427","155","31"
"long term visa applications","Refused","29/02/2024","Montenegro","0","*","*","*","0","0","0","0"
"long term visa applications","Refused","29/02/2024","Morocco","40","29","45","27","36","47","108","32"
"long term visa applications","Refused","29/02/2024","Mozambique","*","*","*","*","*","0","0","0"
"long term visa applications","Refused","29/02/2024","Myanmar","0","*","5","*","*","15","9","0"
"long term visa applications","Refused","29/02/2024","Namibia","*","*","0","0","*","0","*","*"
"long term visa applications","Refused","29/02/2024","Nepal","18","39","77","24","20","140","170","19"
"long term visa applications","Refused","29/02/2024","Niger (the)","*","*","0","0","0","0","0","0"
"long term visa applications","Refused","29/02/2024","Nigeria","208","366","723","585","579","594","1098","83"
"long term visa applications","Refused","29/02/2024","North Macedonia","*","0","0","*","*","*","*","0"
"long term visa applications","Refused","29/02/2024","Oman","*","7","5","4","10","6","8","0"
"long term visa applications","Refused","29/02/2024","Pakistan","705","732","561","338","386","586","1299","412"
"long term visa applications","Refused","29/02/2024","Palau","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","29/02/2024","Palestine, State of","6","13","12","*","8","9","24","19"
"long term visa applications","Refused","29/02/2024","Papua New Guinea","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","29/02/2024","Peru","23","27","18","*","*","59","29","*"
